x;sin;cos;ctg;csc;sec;trig_f;ln;log2;log10;logarithm;main
7,6;0,967887377;0,251384219;0,259724659;1,033178057;3,977974456;1,650100241;2,02813597;2,925982157;0,880813959;53,9669697;53,9669697
7,7;0,988105981;0,153774413;0,155625425;1,012037189;6,50303246;1,359116693;2,041212453;2,944847537;0,886493041;54,85145039;54,85145039
7,8;0,99842864;0,056037947;0,056126142;1,001573833;17,8450505;1,118542679;2,054114727;2,963461586;0,892096463;55,73039838;55,73039838
7,9;0,998738149;-0,050220614;-0,050284065;1,001263445;-19,91214212;0,904482468;2,066852493;2,981838302;0,897628441;56,60416107;56,60416107
8;0,989010571;-0,147844822;-0,149487605;1,011111539;-6,763848659;0,745229425;2,079429877;2,999983634;0,903090764;57,47272467;57,47272467
8,1;0,969312937;-0,245830084;-0,253612713;1,031658572;-4,067850378;0,617526412;2,091850849;3,017903311;0,908485159;58,33607882;58,33607882
8,2;0,939799339;-0,341726796;-0,363616766;1,064056931;-2,92631427;0,521760824;2,104125455;3,035611827;0,913815987;59,19465297;59,19465297
8,3;0,902226651;-0,431262182;-0,47799761;1,108368943;-2,318775076;0,458473566;2,116245659;3,053097588;0,919079759;60,04762357;60,04762357
8,4;0,854692012;-0,519135401;-0,607394703;1,170012105;-1,92627973;0,423640484;2,128220572;3,070373738;0,924280431;60,89537697;60,89537697
8,5;0,798641386;-0,601807225;-0,753538742;1,252126446;-1,661661671;0,422915088;2,140053621;3,087445222;0,929419492;61,73791461;61,73791461
8,6;0,734647035;-0,678449508;-0,923504045;1,361197899;-1,473949039;0,466145366;2,151748112;3,104316809;0,934498378;62,57524025;62,57524025
8,7;0,66336588;-0,748295202;-1,128027871;1,507463724;-1,336370991;0,576336845;2,163313531;3,121002183;0,939521208;63,40781427;63,40781427
8,8;0,585534849;-0,810647235;-1,384456001;1,707840279;-1,2335822;0,804955357;2,174741052;3,137488614;0,944484149;64,23478795;64,23478795
8,9;0,501965974;-0,864887369;-1,722999991;1,992166903;-1,156219915;1,270759147;2,186039317;3,153788568;0,949390955;65,05657812;65,05657812
9;0,412050349;-0,911161078;-2,211285784;2,426887887;-1,097500787;2,29742776;2,197211205;3,169906198;0,954242876;65,87319669;65,87319669
9,1;0,318989636;-0,947758204;-2,971125383;3,134898091;-1,05512144;4,783580889;2,208259497;3,185845516;0,959041119;66,68465721;66,68465721
9,2;0,222719254;-0,974882626;-4,377181629;4,489957574;-1,025764511;12,35575189;2,219193223;3,20161955;0,963789607;67,49144354;67,49144354
9,3;0,124190638;-0,992258376;-7,989800128;8,05213674;-1,007802024;49,84188252;2,230002951;3,217214694;0,968484243;68,29268453;68,29268453
9,4;0,02437352;-0,999702922;-41,01594287;41,02813144;-1,000297167;1602,275089;2,240696944;3,232642868;0,973128615;69,08882073;69,08882073
9,5;-0,075755268;-0,997126441;13,16246996;-13,20040209;-1,00288184;201,5698165;2,251277642;3,24790759;0,977723783;69,87987126;69,87987126
9,6;-0,17522352;-0,984528678;5,618701628;-5,706996406;-1,015714445;44,77650795;2,261747407;3,26301227;0,982270774;70,6658563;70,6658563
9,7;-0,271686595;-0,962385782;3,542264506;-3,680711593;-1,039084345;21,55835323;2,272114887;3,277969385;0,986773342;71,44727729;71,44727729
9,8;-0,366365299;-0,9304711;2,539735894;-2,72951615;-1,074724406;13,39550667;2,282370192;3,292764665;0,991227194;72,22324388;72,22324388
9,9;-0,457362991;-0,889280099;1,944363922;-2,186447132;-1,124505093;9,460097997;2,292521266;3,307409571;0,995635777;72,99421491;72,99421491
10;-0,543761493;-0,839239798;1,543396891;-1,839041588;-1,19155455;7,173191183;2,302570195;3,321907113;1;73,76021431;73,76021431
10,1;-0,624685064;-0,780876796;1,250032764;-1,600806644;-1,280611749;5,672416009;2,312519003;3,336260212;1,004320741;74,5212667;74,5212667
